"","location","age_group","forecast_date","target_end_date","horizon","type","quantile","value"
"1","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.025,1108420.24107796
"2","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.1,1274637.79994667
"3","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.25,1444398.40667314
"4","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.5,1659657.50086447
"5","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.75,1906996.71742232
"6","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.9,2160977.04013717
"7","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.975,2485034.93358884
"8","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.025,1094446.07030983
"9","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.1,1298076.61210772
"10","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.25,1512210.83423657
"11","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.5,1791801.1619186
"12","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.75,2123084.51385594
"13","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.9,2473314.26659
"14","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.975,2933494.3867485
"15","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.025,1172109.35712672
"16","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.1,1418587.62880231
"17","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.25,1682777.23438647
"18","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.5,2034395.53378259
"19","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.75,2459484.89396075
"20","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.9,2917525.22286469
"21","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.975,3531040.13948002
"22","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.025,984694.853101635
"23","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.1,1224305.91679564
"24","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.25,1487750.49940621
"25","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.5,1847444.76805151
"26","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.75,2294102.5207944
"27","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.9,2787744.56953851
"28","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.975,3466101.36150334
"29","DE","00-04",2024-10-17,2024-10-20,1,"quantile",0.025,125744.386879239
"30","DE","00-04",2024-10-17,2024-10-20,1,"quantile",0.1,143217.089068905
"31","DE","00-04",2024-10-17,2024-10-20,1,"quantile",0.25,160900.781040558
"32","DE","00-04",2024-10-17,2024-10-20,1,"quantile",0.5,183120.793067786
"33","DE","00-04",2024-10-17,2024-10-20,1,"quantile",0.75,208409.33547316
"34","DE","00-04",2024-10-17,2024-10-20,1,"quantile",0.9,234142.62272599
"35","DE","00-04",2024-10-17,2024-10-20,1,"quantile",0.975,266677.7077372
"36","DE","00-04",2024-10-17,2024-10-27,2,"quantile",0.025,136231.514215238
"37","DE","00-04",2024-10-17,2024-10-27,2,"quantile",0.1,157746.234004499
"38","DE","00-04",2024-10-17,2024-10-27,2,"quantile",0.25,179863.423871767
"39","DE","00-04",2024-10-17,2024-10-27,2,"quantile",0.5,208092.322859854
"40","DE","00-04",2024-10-17,2024-10-27,2,"quantile",0.75,240751.643113843
"41","DE","00-04",2024-10-17,2024-10-27,2,"quantile",0.9,274506.805861207
"42","DE","00-04",2024-10-17,2024-10-27,2,"quantile",0.975,317859.014359879
"43","DE","00-04",2024-10-17,2024-11-03,3,"quantile",0.025,139948.669006276
"44","DE","00-04",2024-10-17,2024-11-03,3,"quantile",0.1,164482.670572014
"45","DE","00-04",2024-10-17,2024-11-03,3,"quantile",0.25,190061.214891679
"46","DE","00-04",2024-10-17,2024-11-03,3,"quantile",0.5,223171.76741599
"47","DE","00-04",2024-10-17,2024-11-03,3,"quantile",0.75,262050.507253478
"48","DE","00-04",2024-10-17,2024-11-03,3,"quantile",0.9,302801.733449306
"49","DE","00-04",2024-10-17,2024-11-03,3,"quantile",0.975,355885.040745499
"50","DE","00-04",2024-10-17,2024-11-10,4,"quantile",0.025,143107.467052957
"51","DE","00-04",2024-10-17,2024-11-10,4,"quantile",0.1,170615.443554333
"52","DE","00-04",2024-10-17,2024-11-10,4,"quantile",0.25,199684.243465572
"53","DE","00-04",2024-10-17,2024-11-10,4,"quantile",0.5,237825.457713956
"54","DE","00-04",2024-10-17,2024-11-10,4,"quantile",0.75,283251.934930984
"55","DE","00-04",2024-10-17,2024-11-10,4,"quantile",0.9,331511.304947262
"56","DE","00-04",2024-10-17,2024-11-10,4,"quantile",0.975,395234.081782207
"57","DE","05-14",2024-10-17,2024-10-20,1,"quantile",0.025,84312.5085663279
"58","DE","05-14",2024-10-17,2024-10-20,1,"quantile",0.1,102954.541614744
"59","DE","05-14",2024-10-17,2024-10-20,1,"quantile",0.25,123104.772601522
"60","DE","05-14",2024-10-17,2024-10-20,1,"quantile",0.5,150150.49505674
