"","location","age_group","forecast_date","target_end_date","horizon","type","quantile","value"
"1","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.025,1075627
"2","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.1,1252194
"3","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.25,1426125
"4","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.5,1659657.50086447
"5","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.75,1869294
"6","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.9,2095354
"7","DE","00+",2024-10-17,2024-10-20,1,"quantile",0.975,2368314
"8","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.025,1032979
"9","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.1,1253883
"10","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.25,1477330
"11","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.5,1791801.1619186
"12","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.75,2066870
"13","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.9,2376336
"14","DE","00+",2024-10-17,2024-10-27,2,"quantile",0.975,2756171
"15","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.025,1070104
"16","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.1,1342522
"17","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.25,1623908
"18","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.5,2034395.53378259
"19","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.75,2386505
"20","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.9,2795416
"21","DE","00+",2024-10-17,2024-11-03,3,"quantile",0.975,3303282
"22","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.025,854178
"23","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.1,1123002
"24","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.25,1409066
"25","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.5,1847444.76805151
"26","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.75,2213670
"27","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.9,2657514
"28","DE","00+",2024-10-17,2024-11-10,4,"quantile",0.975,3217312
"29","DE","00-04",2024-10-17,2024-10-20,1,"quantile",0.025,123616
"30","DE","00-04",2024-10-17,2024-10-20,1,"quantile",0.1,141841
"31","DE","00-04",2024-10-17,2024-10-20,1,"quantile",0.25,159631
"32","DE","00-04",2024-10-17,2024-10-20,1,"quantile",0.5,183120.793067786
"33","DE","00-04",2024-10-17,2024-10-20,1,"quantile",0.75,204404
"34","DE","00-04",2024-10-17,2024-10-20,1,"quantile",0.9,227006
"35","DE","00-04",2024-10-17,2024-10-20,1,"quantile",0.975,254132
"36","DE","00-04",2024-10-17,2024-10-27,2,"quantile",0.025,133095
"37","DE","00-04",2024-10-17,2024-10-27,2,"quantile",0.1,155673
"38","DE","00-04",2024-10-17,2024-10-27,2,"quantile",0.25,177980
"39","DE","00-04",2024-10-17,2024-10-27,2,"quantile",0.5,208092.322859854
"40","DE","00-04",2024-10-17,2024-10-27,2,"quantile",0.75,235043
"41","DE","00-04",2024-10-17,2024-10-27,2,"quantile",0.9,264248
"42","DE","00-04",2024-10-17,2024-10-27,2,"quantile",0.975,299580
"43","DE","00-04",2024-10-17,2024-11-03,3,"quantile",0.025,135410
"44","DE","00-04",2024-10-17,2024-11-03,3,"quantile",0.1,161386
"45","DE","00-04",2024-10-17,2024-11-03,3,"quantile",0.25,187358
"46","DE","00-04",2024-10-17,2024-11-03,3,"quantile",0.5,223171.76741599
"47","DE","00-04",2024-10-17,2024-11-03,3,"quantile",0.75,254851
"48","DE","00-04",2024-10-17,2024-11-03,3,"quantile",0.9,289847
"49","DE","00-04",2024-10-17,2024-11-03,3,"quantile",0.975,332502
"50","DE","00-04",2024-10-17,2024-11-10,4,"quantile",0.025,137051
"51","DE","00-04",2024-10-17,2024-11-10,4,"quantile",0.1,166384
"52","DE","00-04",2024-10-17,2024-11-10,4,"quantile",0.25,196058
"53","DE","00-04",2024-10-17,2024-11-10,4,"quantile",0.5,237825.457713956
"54","DE","00-04",2024-10-17,2024-11-10,4,"quantile",0.75,274357
"55","DE","00-04",2024-10-17,2024-11-10,4,"quantile",0.9,315462
"56","DE","00-04",2024-10-17,2024-11-10,4,"quantile",0.975,365916
"57","DE","05-14",2024-10-17,2024-10-20,1,"quantile",0.025,78052
"58","DE","05-14",2024-10-17,2024-10-20,1,"quantile",0.1,98341
"59","DE","05-14",2024-10-17,2024-10-20,1,"quantile",0.25,119355
"60","DE","05-14",2024-10-17,2024-10-20,1,"quantile",0.5,150150.49505674
"61","DE","05-14",2024-10-17,2024-10-20,1,"quantile",0.75,176501
"62","DE","05-14",2024-10-17,2024-10-20,1,"quantile",0.9,207226
"63","DE","05-14",2024-10-17,2024-10-20,1,"quantile",0.975,245441
"64","DE","05-14",2024-10-17,2024-10-27,2,"quantile",0.025,82113
"65","DE","05-14",2024-10-17,2024-10-27,2,"quantile",0.1,107263
"66","DE","05-14",2024-10-17,2024-10-27,2,"quantile",0.25,133917
"67","DE","05-14",2024-10-17,2024-10-27,2,"quantile",0.5,174490.172103304
"68","DE","05-14",2024-10-17,2024-10-27,2,"quantile",0.75,208506
"69","DE","05-14",2024-10-17,2024-10-27,2,"quantile",0.9,249497
"70","DE","05-14",2024-10-17,2024-10-27,2,"quantile",0.975,301091
"71","DE","05-14",2024-10-17,2024-11-03,3,"quantile",0.025,84264
"72","DE","05-14",2024-10-17,2024-11-03,3,"quantile",0.1,111289
"73","DE","05-14",2024-10-17,2024-11-03,3,"quantile",0.25,140130
"74","DE","05-14",2024-10-17,2024-11-03,3,"quantile",0.5,184534.160766605
"75","DE","05-14",2024-10-17,2024-11-03,3,"quantile",0.75,221538
"76","DE","05-14",2024-10-17,2024-11-03,3,"quantile",0.9,266564
"77","DE","05-14",2024-10-17,2024-11-03,3,"quantile",0.975,323433
"78","DE","05-14",2024-10-17,2024-11-10,4,"quantile",0.025,84862
"79","DE","05-14",2024-10-17,2024-11-10,4,"quantile",0.1,113857
"80","DE","05-14",2024-10-17,2024-11-10,4,"quantile",0.25,145112
"81","DE","05-14",2024-10-17,2024-11-10,4,"quantile",0.5,194015.227517815
"82","DE","05-14",2024-10-17,2024-11-10,4,"quantile",0.75,234421
"83","DE","05-14",2024-10-17,2024-11-10,4,"quantile",0.9,284266
"84","DE","05-14",2024-10-17,2024-11-10,4,"quantile",0.975,347524
"85","DE","15-34",2024-10-17,2024-10-20,1,"quantile",0.025,239874
"86","DE","15-34",2024-10-17,2024-10-20,1,"quantile",0.1,289260
"87","DE","15-34",2024-10-17,2024-10-20,1,"quantile",0.25,339007
"88","DE","15-34",2024-10-17,2024-10-20,1,"quantile",0.5,408510.329499949
"89","DE","15-34",2024-10-17,2024-10-20,1,"quantile",0.75,469548
"90","DE","15-34",2024-10-17,2024-10-20,1,"quantile",0.9,537773
